#timestep	pair_lj_energy	potential_energy	kinetic_energy	temperature
0	-14.77132051	-14.77132051	0	0
1000	-483.3661441	-483.3661441	1637.252111	1.092594002
2000	-1849.801172	-1849.801172	1511.274381	1.008524779
3000	-2614.235408	-2614.235408	1478.876782	0.9869047597
4000	-3348.193102	-3348.193102	1567.375502	1.045962964
5000	-4315.832983	-4315.832983	1554.573131	1.037419507
6000	-5191.709675	-5191.709675	1594.876043	1.064315011
7000	-6046.417887	-6046.417887	1588.585341	1.060117011
8000	-6474.29335	-6474.29335	1502.217687	1.002480939
9000	-7158.058622	-7158.058622	1482.38331	0.9892447845
10000	-7615.73801	-7615.73801	1517.684471	1.01280245
11000	-8159.167044	-8159.167044	1519.07707	1.013731778
12000	-8696.966666	-8696.966666	1509.283494	1.007196192
13000	-9258.763106	-9258.763106	1555.029527	1.037724075
14000	-9652.825229	-9652.825229	1526.568207	1.018730869
15000	-9969.63861	-9969.63861	1455.485817	0.9712951732
16000	-10458.05791	-10458.05791	1525.021568	1.017698744
17000	-10904.35837	-10904.35837	1514.787603	1.010869271
18000	-11388.73514	-11388.73514	1528.112376	1.019761345
19000	-11846.32578	-11846.32578	1535.05209	1.024392452
20000	-12176.6617	-12176.6617	1495.378097	0.997916648
21000	-12540.54237	-12540.54237	1477.168969	0.9857650777
22000	-12884.72089	-12884.72089	1449.314179	0.9671766295
23000	-13111.69301	-13111.69301	1522.016957	1.015693665
24000	-13360.09389	-13360.09389	1475.17893	0.9844370571
25000	-13598.26118	-13598.26118	1536.306991	1.025229891
26000	-13947.45915	-13947.45915	1476.207645	0.9851235537
27000	-14159.94998	-14159.94998	1465.792726	0.9781733239
28000	-14314.86478	-14314.86478	1488.108667	0.9930655101
29000	-14479.37715	-14479.37715	1538.058644	1.026398828
30000	-14737.00501	-14737.00501	1431.552462	0.9553236315
31000	-14988.72813	-14988.72813	1513.128655	1.009762199
32000	-15121.92638	-15121.92638	1472.660726	0.9827565737
33000	-15350.77257	-15350.77257	1549.698316	1.034166377
34000	-15451.98509	-15451.98509	1561.391825	1.041969853
35000	-15404.28161	-15404.28161	1569.855266	1.047617795
36000	-15750.90893	-15750.90893	1521.891173	1.015609725
37000	-15883.54628	-15883.54628	1560.758431	1.041547168
38000	-16149.94912	-16149.94912	1493.702687	0.99679859
39000	-16264.78645	-16264.78645	1484.803551	0.9908598938
40000	-16556.85051	-16556.85051	1492.694923	0.9961260746
41000	-16692.15234	-16692.15234	1508.670054	1.006786823
42000	-17024.08958	-17024.08958	1515.618764	1.011423933
43000	-17142.31473	-17142.31473	1545.730896	1.031518783
44000	-17418.27145	-17418.27145	1512.195272	1.009139321
45000	-17426.02335	-17426.02335	1513.740335	1.010170394
46000	-17550.83924	-17550.83924	1517.129366	1.012432009
47000	-17722.29355	-17722.29355	1514.346091	1.010574635
48000	-17945.44736	-17945.44736	1540.384662	1.027951059
49000	-18062.36687	-18062.36687	1570.277913	1.047899842
50000	-18097.65765	-18097.65765	1553.337084	1.036594651
51000	-18318.68278	-18318.68278	1550.724411	1.034851125
52000	-18427.21496	-18427.21496	1540.80885	1.028234134
53000	-18520.7041	-18520.7041	1538.656878	1.02679805
54000	-18579.34633	-18579.34633	1507.087437	1.005730689
55000	-18722.12107	-18722.12107	1495.839603	0.9982246264
56000	-18887.78952	-18887.78952	1481.084054	0.9883777471
57000	-19003.16729	-19003.16729	1597.756076	1.066236954
58000	-19050.35108	-19050.35108	1484.315684	0.9905343239
59000	-19108.29031	-19108.29031	1491.080308	0.995048587
60000	-19160.16914	-19160.16914	1529.136492	1.020444773
61000	-19270.07374	-19270.07374	1511.542182	1.008703492
62000	-19272.56679	-19272.56679	1447.723539	0.9661151413
63000	-19398.04529	-19398.04529	1463.447665	0.9766083853
64000	-19475.25567	-19475.25567	1494.953519	0.9976333124
65000	-19547.41705	-19547.41705	1541.603844	1.028764661
66000	-19742.7939	-19742.7939	1478.573436	0.9867023262
67000	-19835.61344	-19835.61344	1472.253434	0.9824847741
68000	-19835.67682	-19835.67682	1516.77975	1.012198699
69000	-19786.48782	-19786.48782	1408.669942	0.9400533482
70000	-20044.88017	-20044.88017	1613.215129	1.076553306
71000	-20038.85929	-20038.85929	1479.255337	0.9871573822
72000	-20124.2508	-20124.2508	1509.988796	1.007666864
73000	-20145.51042	-20145.51042	1508.653663	1.006775885
74000	-20172.81327	-20172.81327	1508.384437	1.006596221
75000	-20333.62398	-20333.62398	1440.465375	0.9612715218
76000	-20262.0623	-20262.0623	1593.84512	1.06362704
77000	-20392.56356	-20392.56356	1523.659377	1.016789708
78000	-20441.63733	-20441.63733	1519.288294	1.013872735
79000	-20517.75073	-20517.75073	1513.329067	1.009895941
80000	-20574.73721	-20574.73721	1535.690715	1.024818629
81000	-20570.2326	-20570.2326	1496.603929	0.9987346871
82000	-20577.94585	-20577.94585	1518.592399	1.013408341
83000	-20628.04856	-20628.04856	1490.095385	0.9943913147
84000	-20674.90182	-20674.90182	1504.325974	1.003887871
85000	-20746.71384	-20746.71384	1486.888272	0.992251099
86000	-20848.29384	-20848.29384	1507.419849	1.005952519
87000	-20745.53913	-20745.53913	1515.07006	1.011057764
88000	-20755.05452	-20755.05452	1474.385622	0.9839076559
89000	-20878.49008	-20878.49008	1503.400917	1.003270549
90000	-20996.20533	-20996.20533	1433.841542	0.9568512124
91000	-21110.53715	-21110.53715	1481.765085	0.9888322223
92000	-21135.8467	-21135.8467	1473.123724	0.9830655483
93000	-21123.22202	-21123.22202	1488.702249	0.9934616279
94000	-21201.03186	-21201.03186	1446.347016	0.9651965408
95000	-21231.83818	-21231.83818	1472.532688	0.9826711297
96000	-21173.66983	-21173.66983	1511.278237	1.008527352
97000	-21188.571	-21188.571	1490.57672	0.9947125259
98000	-21314.07735	-21314.07735	1533.382288	1.023278137
99000	-21243.04184	-21243.04184	1499.246782	1.000498353
